index,movie_name,year_of_release,category,run_time,genre,imdb_rating,votes,Revenues_in_millions
1,The Godfather,-1972,R,175,"Crime, Drama",9,1860471,135
2,The Silence of the Lambs,-1991,R,118,"Crime, Drama, Thriller",9,1435344,131
3,Star Wars: Episode V - The Empire Strikes Back,-1980,PG,124,"Action, Adventure, Fantasy",9,1294805,290
4,The Shawshank Redemption,-1994,R,142,Drama,9,2683302,28
5,The Shining,-1980,R,146,"Drama, Horror",8,1025560,44
6,Casablanca,-1942,PG,102,"Drama, Romance, War",9,574092,1
7,One Flew Over the Cuckoo's Nest,-1975,R,133,Drama,9,1010102,112
8,Indiana Jones and the Raiders of the Lost Ark,-1981,PG,115,"Action, Adventure",8,969143,248
9,The Lord of the Rings: The Return of the King,-2003,PG-13,201,"Action, Adventure, Drama",9,1849082,378
10,Star Wars: Episode IV - A New Hope,-1977,PG,121,"Action, Adventure, Fantasy",9,1367430,323
11,The Dark Knight,-2008,PG-13,152,"Action, Crime, Drama",9,2656768,535
12,The Godfather: Part II,-1974,R,202,"Crime, Drama",9,1273349,57
13,Aliens,-1986,R,137,"Action, Adventure, Sci-Fi",8,720623,85
14,Schindler's List,-1993,R,195,"Biography, Drama, History",9,1357621,97
15,Inception,-2010,PG-13,148,"Action, Adventure, Sci-Fi",9,2356293,293
16,The Lord of the Rings: The Fellowship of the Ring,-2001,PG-13,178,"Action, Adventure, Drama",9,1878557,316
17,Alien,-1979,R,117,"Horror, Sci-Fi",9,885635,79
18,Some Like It Hot,-1959,Passed,121,"Comedy, Music, Romance",8,269346,25
19,Blade Runner,-1982,R,117,"Action, Drama, Sci-Fi",8,773425,33
20,Se7en,-1995,R,127,"Crime, Drama, Mystery",9,1655745,100
21,Apocalypse Now,-1979,R,147,"Drama, Mystery, War",9,669994,83
22,12 Angry Men,-1957,Approved,96,"Crime, Drama",9,792729,4
23,The Lord of the Rings: The Two Towers,-2002,PG-13,179,"Action, Adventure, Drama",9,1669715,343
24,Terminator 2: Judgment Day,-1991,R,137,"Action, Sci-Fi",9,1101850,205
25,Star Wars: Episode VI - Return of the Jedi,-1983,PG,131,"Action, Adventure, Fantasy",8,1056750,309
26,Die Hard,-1988,R,132,"Action, Thriller",8,887967,83
